Project number,The date,Region,The town/village,Home address,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy audit number,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
PME2-1902,16.02.2023,Rīgas,Jaunmārupe,Kārkliņu iela 21,Mārupes novads,2016,158.4,331.82,2.36,140.6,2,0,1,0,D,133,111,28.8,1,1,0,0,BIS-ĒED-2-2023-1060,C,75,22,5,0,0,103,36,30,32.43,129,135,0,3.03,21.53,431,0.3,0.3,1,1.23,19.4,25,0.49,0.13,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
PME2-1826,11.01.2023,Zemgales,Jelgava,Dārzkopju iela 12,Jelgava,2007,244.97,615.01,2.64,232.96,2,0,0,0,D,144.41,124.1,5.46,1,1,0,0,BIS-ĒED-2-2023-15,C,88,20,1,0,20,129,36.1,15.41,29.09,43,135,0,1.37,5.86,668,0.29,0.3,1.1,1.12,20,0,0.47,0.39,Solid biofuel,Centralized heat supply from a specific supplier,Centralized heat supply from a specific supplier,-,Electricity from the grid,Electricity from the grid,-,40,37.8,37.8,-,109,109,-,0.2,0.15,0.15,-,1.9,1.9,-,1,0.55,0.55,-,0.6,0.6,-,1.2,0.7,0.7,-,2.5,2.5,-
PME2-1792,30.12.2022,Rīgas,Ikšķile,Pārbrauktuves iela 3   ,Ogres novads,2017,212.5,316.75,2.18,145.3,2,1,1,0,D,118.7,96.3,5.75,0,1,0,0,BIS-ĒED-2-2023-1064,B,62,22,6,0,0,91,34.3,27.7,35.62,35,137,0,0.69,4.78,348,0.3,0.29,0.78,0.95,20,25,0.53,0.14,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME2-1734,05.12.2022,Rīgas,"Garciems, Carnikavas pagasts",Palejas iela 12A,Ādažu novads,1982,79.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,37.76,1,0,0,0,BIS-ĒED-2-2022-6368,C,80,18,1,0,0,98,72.46,72.17,47.53,120,121,0,1.4,21.97,178,0.36,0.31,1.28,1.56,20,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME2-1657,14.11.2022,Rīgas,Garciems,Palejas iela 12,Ādažu novads,1982,69.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,38.2,1,0,0,0,BIS-ĒED-2-2022-6367,C,88,18,1,0,0,106,64.46,64.17,42.28,130,131,0,1.52,23.8,187,0.37,0.33,1.44,1.74,20,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME2-1637,10.11.2022,Rīgas,Jaunmārupe,Vītolu iela 12,"Mārupes  pagasts, Mārupes novads",2019,161.6,417.61,2.89,144.5,1,0,0,0,D,151,129,5.03,1,1,0,0,BIS-ĒED-2-2023-128,C,82,22,7,0,0,112,47,39,36.43,75,171,0,0.63,4.35,524,0.26,0.31,0.99,1.41,20,25,0.48,0.13,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
PME2-1620,08.11.2022,Rīgas,Jaunmārupe,Vītolu iela 25,Mārupes novads,2020,176.8,420.66,3.42,123,1,0,0,0,D,126.5,106.1,23.1,0,1,0,0,BIS-ĒED-2-2023-127,B,60,20,8,0,0,89,46.1,37.5,43.45,101,109,0,1.9,15.48,450,0.18,0.24,0.72,1.15,20,25,0.46,0.14,Electricity from the grid,Gas,Gas,Electricity from the grid,Electricity from the grid,-,-,109,202,202,109,109,-,-,1.9,1.1,1.1,1.9,1.9,-,-,0.6,0,0,0.6,0.6,-,-,2.5,1.1,1.1,2.5,2.5,-,-
PME2-1619,07.11.2022,Zemgales,Ozolnieki,Egļu iela 20,"Ozolnieku pagasts, Jelgavas novads",2021,121.3,333.58,2.75,121.3,1,0,0,0,D,156.8,127,7.57,0,1,0,0,BIS-ĒED-2-2022-6216,C,89,30,7,0,0,125,38,31.8,29.92,45,187,0,0.79,6.49,536,0.24,0.27,1.13,1.62,20,25,0.48,0.16,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME2-186,02.11.2022,Rīgas,Salaspils pagasts,"""JAUNSTRAZDIŅI""","Salaspils pagasts, Salaspils novads",2010,365.7,443.44,2.3,192.8,2,1,1,0,D,158.6,125.1,9.75,1,0,0,0,BIS-ĒED-2-2023-587,C,69,25,0,0,8,103,56.1,55.6,44.84,158,178,0,0.96,4.97,479,0.25,0.3,0.66,0.92,20,20,0.4,0.31,Wood/wood waste,,Electricity from the grid,,,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
PME2-1597,02.11.2022,Kurzemes,Liepāja,Saldus iela 26,Liepāja,1958,118.9,292.5,2.6,112.5,2,0,0,0,D,129.02,108.92,28.96,1,1,1,0,BIS-ĒED-2-2023-1488,C,86,20,3,0,0,109,22.92,20.02,21.04,73,167,0,0.48,4.22,468,0.35,0.26,1.73,1.8,20,27,0.25,0.21,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,Electricity from the grid,-,-,0,109,0,109,109,-,-,0,1.9,0,1.9,1.9,-,-,1,0.6,1,0.6,0.6,-,-,1,2.5,1,2.5,2.5,-,-
PME2-862,10.10.2022,Rīgas,Tume,Meža iela 18 ,"Tumes pagasts, Tukuma novads",1973,158.3,322.65,2.39,135,1,1,0,0,F,176.01,151.29,7.04,1,1,0,0,BIS-ĒED-2-2022-5972,C,70,25,0,0,0,95,81.29,81.01,53.73,19,114,0,0.51,3.8,432,0.34,0.26,1.09,0.85,20,27,0.4,0.33,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME2-1372,05.10.2022,Rīgas,Jaunolaine,Vidagas iela 4,Olaines novads,2021,141.8,278.7,3,92.9,1,0,0,0,D,130.66,105.51,0,1,1,0,0,BIS-ĒED-2-2023-1266,B,74,25,2,0,0,102,31.51,28.66,29.86,4,64,0,0.03,0.27,350,0.29,0.39,1.1,1.5,20,25,0.37,0.1,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,Electricity from the grid,-,-,0,-,0,-,109,-,-,0,-,0,-,1.9,-,-,1,-,1,-,0.6,-,-,1,-,1,-,2.5,-,-
PME2-1377,05.10.2022,Zemgales,Jelgava,3. līnija 9L,Jelgava,2021,223.5,314.72,2.8,136.8,1,0,0,0,D,121,98,5.85,0,1,0,0,BIS-ĒED-2-2022-5484,B,63,27,7,0,0,98,35,23,35.71,40,149,0,0.59,5.27,436,0.18,0.27,0.77,1.39,20,25,0.55,0.19,Electricity from the grid,Solid biofuel,Solid biofuel,Electricity from the grid,Electricity from the grid,-,-,109,40,40,109,109,-,-,1.9,0.2,0.2,1.9,1.9,-,-,0.6,1,1,0.6,0.6,-,-,2.5,1.2,1.2,2.5,2.5,-,-
PME2-1454,05.10.2022,Rīgas,Vālodzes,Strautu iela 6,Ropažu novads,1986,161.5,255.25,2.5,102.1,2,1,1,0,F,189.24,174.94,7.57,1,0,0,0,BIS-ĒED-2-2023-897,C,77,23,0,0,0,100,97.94,89.24,55.98,212,121,0,2.28,22.36,309,0.27,0.28,0.83,0.85,19,25,0.41,0.35,Gas,-,Gas,-,-,-,-,202,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME2-1338,19.09.2022,Rīgas,Sigulda,Ceriņu iela 5,Siguldas novads,1987,162,363.38,2.55,199,2,1,0,0,F,199,162,38.75,1,0,0,0,BIS-ĒED-2-2022-5802,C,90,20,0,0,17,127,72,72,44.44,153,164,0,3.44,24.12,441,0.29,0.3,0.97,1.18,20,20,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME2-1257,16.09.2022,Rīgas,,Parka iela 2,Rīga,2008,165.6,404.83,2.47,163.9,2,0,1,0,E,164.3,138.1,35.82,1,0,0,0,BIS-ĒED-2-2022-6003,C,79,26,0,0,0,105,59.1,59.3,42.8,127,128,0,3.74,22.81,443,0.26,0.28,0.76,1.04,20,25,0.4,0.33,Electricity from the grid,Gas,Electricity from the grid,Gas,-,-,-,109,202,109,202,-,-,-,1.9,1.1,1.9,1.1,-,-,-,0.6,0,0.6,0,-,-,-,2.5,1.1,2.5,1.1,-,-,-
PME2-1108,13.09.2022,Rīgas,Ādaži,Koku iela 15,Ādažu novads,2008,211.7,495.02,2.65,186.8,2,1,0,0,D,161.8,115.6,30.87,0,1,0,0,BIS-ĒED-2-2022-5906,C,90,26,0,0,22,137,25.6,24.8,22.15,168,181,0,4.8,25.68,662,0.34,0.33,1.23,1.4,20,20,0.36,0.32,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME2-1107,06.09.2022,Rīgas,Kākciems,"""Guntiņas""",Ropažu novads,2019,237.8,407.47,2.27,179.5,2,0,1,0,D,123,105,5.98,0,1,0,0,BIS-ĒED-2-2022-5224,C,69,17,6,0,0,92,36,31,34.29,37,140,0,0.88,4.92,508,0.29,0.29,0.88,1.07,20,25,0.49,0.07,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME2-1166,05.09.2022,Rīgas,Sigulda,Ogu iela 1,Siguldas novads,2004,128,336.96,2.7,124.8,2,0,0,1,D,145,97,10.09,1,0,0,0,BIS-EED-2-2022-5571,C,75,30,0,0,18,123,22,22,22.68,194,223,0,0.84,6.7,329,0.28,0.32,0.8,1.09,20,20,0.36,0.33,Wood/wood waste,-,Electricity from the grid,-,-,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
PME2-72,03.08.2022,Zemgales,Zaļenieku pagasts,"""Laimes""",Jelgavas novads,1925,104.5,381.47,2.45,97.1,1,0,1,0,E,192,172.6,5.48,1,0,0,0,BIS-ĒED-2-2022-5231,C,80,16,0,0,0,96,92.6,96,53.65,141,150,0,0.52,3.32,426,0.22,0.25,0.73,0.83,20,27,0.36,0.29,Wood/wood waste,-,Electricity from the grid,-,-,-,-,15.6,-,109,-,-,-,-,1.1,-,1.9,-,-,-,-,0,-,0.6,-,-,-,-,1.1,-,2.5,-,-,-,-
PME2-1018,02.08.2022,Zemgales,Jelgava,Romas iela 34,Jelgava,1998,144.6,371.62,2.57,144.6,2,0,0,0,C,96.6,72.5,52.61,0,1,0,0,BIS-ĒED-2-2022-5935,B,57,24,3,0,0,87,15.5,9.6,21.38,144,151,0,5.99,51.4,452,0.29,0.31,0.91,0.95,19.5,27,0.75,0.66,Electricity from the grid,Coal (anthracite),Coal (anthracite),-,Electricity from the grid,-,-,109,354,354,-,109,-,-,1.9,1.1,1.1,-,1.9,-,-,0.6,0,0,-,0.6,-,-,2.5,1.1,1.1,-,2.5,-,-
PME2-1014,30.07.2022,Kurzemes,Ventspils,Tērauda iela 14,Ventspils,2009,249.3,381.51,2.33,163.74,2,0,0,0,C,92,71,4.1,1,1,0,0,BIS-ĒED-2-2022-6208,A,50,21,28,0,34,133,21,-41,29.58,0,132,0,0,0,452,0.33,0.33,0.95,1.14,20.4,22.4,0.49,0.39,Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,Photovoltaic cells,-,0,0,0,0,0,0,-,0,0,0,0,0,0,-,1,1,1,1,1,1,-,1,1,1,1,1,1,-
PME2-990,26.07.2022,Rīgas,Jaunmārupe,Pļavu iela 5,Mārupes novads,1999,336,568,2.5,227,2,1,0,1,D,136,109,27,1,0,0,0,BIS-ĒED-2-2022-5947,C,82,22,0,0,6,110,27,26,24.77,125,128,0,4.91,21.62,518,0.3,0.3,0.7,0.8,20,20,0.4,0.3,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME2-822,26.07.2022,Rīgas,Mārupe,Lielā iela 54,Mārupes novads,2002,198,540.54,2.73,198,2,0,1,0,F,171.9,155.9,31.92,1,1,0,0,BIS-ĒED-2-2022-4564,C,82,16,7,0,0,105,73.9,66.9,47.4,115,121,0,3.72,18.8,495,0.35,0.27,0.93,0.92,20,25,0.46,0.11,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
PME2-906,22.07.2022,Rīgas,Engure,Rosmes iela 10,"Engures pagasts, Tukuma novads",1970,232.1,135,2.48,135,2,1,0,0,C,108,80,4.6,1,0,0,0,BIS-ĒED-2-2022-6432,B,55,29,0,0,0,84,25,24,31.25,35,128,0,0.61,4.54,308,0.34,0.36,0.82,0.99,20.4,22.4,0.35,0.3,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
PME2-872,07.07.2022,Rīgas,Ikšķile,Lībiešu iela 45,Ogres novads,2018,212.6,488.98,2.3,212.6,2,1,0,1,E,172.1,149.3,34.37,1,0,0,0,BIS-ĒED-2-2022-5662,C,86,18,0,0,6,110,63.3,62.1,42.4,126,129,0,4.62,21.75,564,0.32,0.26,0.88,0.87,20,20,0.36,0.28,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME2-152,29.06.2022,Rīgas,,Taures iela 1,Rīga,1960,157.2,411.05,2.5,153.17,2,1,0,0,F,209.37,195.06,42.3,1,1,0,0,BIS-ĒED-2-2022-6286,C,75,13,2,0,0,90,120.06,119.37,61.55,110,111,0,3.29,20,475,0.3,0.3,0.73,0.73,20,25,0.36,0.07,Gas,-,Gas,-,Electricity from the grid,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME2-814,28.06.2022,Rīgas,Babīte,Dārza iela 1A,"Babītes pagasts, Mārupes novads",1973,102.9,244.97,2.62,93.5,1,0,0,0,D,173.08,137.77,34.96,1,0,0,0,BIS-ĒED-2-2022-4884,C,81,35,0,0,0,116,56.77,57.08,41.21,128,128,0,2.2,23.53,352,0.26,0.3,0.97,1.12,20,27,0.5,0.45,Gas,-,Gas,-,-,-,-,202,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME2-796,22.06.2022,Rīgas,"Carnikava, Carnikavas pagasts",Zelmeņu iela 11A,Ādažu novads,2022,139.7,264.74,2.65,99.9,1,0,0,0,D,131.2,100,26.7,0,1,0,0,BIS-ĒED-2-2022-4135,A,58,31,6,0,20,115,42,16.2,42,124,133,0,1.92,19.24,377,0.19,0.27,0.77,1.32,20,25,0.56,0.2,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,109,202,109,202,109,109,-,1.9,1.1,1.9,1.1,1.9,1.9,-,0.6,0,0.6,0,0.6,0.6,-,2.5,1.1,2.5,1.1,2.5,2.5,-
PME2-649,22.06.2022,Rīgas,Krogsils,Runcīšu iela 6,Ķekavas novads,2009,194.5,429.93,2.44,176.2,2,0,1,0,D,115,99,3.76,0,1,0,0,BIS-ĒED-2-2022-4768,C,66,16,6,0,0,88,33,27,33.33,59,135,0,0.6,3.41,441,0.34,0.31,0.92,1.07,20,25,0.47,0.08,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
PME2-782,21.06.2022,Rīgas,Rīga,Eiženijas iela 7,Rīga,1962,76.1,212,3.15,73.66,1,1,0,0,F,253,215,8.25,1,1,0,0,BIS-ĒED-2-2022-5889,C,95,42,8,0,0,144,120,109,55.81,95,219,0,0.37,5.51,350,0.24,0.26,1.35,1.86,20,25,0.45,0.09,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
