Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-293,18.05.2022,Rīga,4000,3.93,9.83,0,11,11.1,-6.83,16.65,1.21
PME2-476,18.05.2022,Rīga,4000,23.97,59.93,0,11,11.8,42.23,17.7,1.29
PME2-524,17.05.2022,Rīga,4000,18.53,46.33,0,11,11,29.83,16.5,1.2
PME2-525,17.05.2022,Rīga,4000,14.72,36.8,0,11,11,20.3,16.5,1.2
PME2-506,17.05.2022,Rīga,4000,4.05,10.13,0,10,2.94,5.72,4.41,0.32
PME2-177,17.05.2022,Rīga,2800,4.63,11.58,0,6,4.23,5.23,6.35,0.46
PME2-522,17.05.2022,Rīga,3500,8.25,20.63,0,8,7.06,10.04,10.59,0.77
PME2-518,16.05.2022,Kurzeme,3500,5.83,14.58,0,8,6.67,4.57,10.01,0.73
PME2-512,17.05.2022,Zemgale,2500,3.05,7.63,0,5,4,1.63,6,0.44
PME2-504,16.05.2022,Rīga,2800,3.33,8.33,0,6,5.76,-0.32,8.64,0.63
PME2-516,16.05.2022,Kurzeme,3500,4.07,10.18,0,8,4.8,2.98,7.2,0.52
PME2-468,16.05.2022,Rīga,2800,4.19,10.48,0,6.93,7.65,-1,11.48,0.83
PME2-493,13.05.2022,Rīga,3500,6.28,15.7,0,8.3,7.18,4.93,10.77,0.78
PME2-494,13.05.2022,Rīga,1800,2.98,7.45,0.4,4,3.01,2.94,4.52,0.33
PME2-500,13.05.2022,Rīga,4000,12.86,32.15,0,11,10,17.15,15,1.09
PME2-451,13.05.2022,Rīga,3500,5.83,14.58,0,8,8,2.58,12,0.87
PME2-499,13.05.2022,Rīga,2800,4.49,11.23,0,6,5.85,2.45,8.78,0.64
PME2-410,13.05.2022,Rīga,3500,4.96,12.4,0,8,7.2,1.6,10.8,0.78
PME2-474,13.05.2022,Rīga,2800,5.36,13.4,0,6,5.81,4.69,8.72,0.63
PME2-473,13.05.2022,Rīga,4000,9.9,24.75,0,10,10.18,9.48,15.27,1.11
PME2-492,12.05.2022,Rīga,4000,14.75,36.88,0,11.1,12,18.88,18,1.31
PME2-472,12.05.2022,Zemgale,2200,3.44,8.6,0,4.8,4,2.6,6,0.44
PME2-353,12.05.2022,Rīga,4000,3.4,8.5,0,10,9,-5,13.5,0.98
PME2-456,12.05.2022,Rīga,4000,10.11,25.28,0,11,10,10.28,15,1.09
PME2-210,12.05.2022,Zemgale,4000,9.41,23.53,0,11.1,11.78,5.86,17.67,1.28
PME2-455,12.05.2022,Zemgale,4000,6.53,16.33,0,11,10.65,0.35,15.98,1.16
PME2-274,12.05.2022,Rīga,3500,7.34,18.35,0,8,8.58,5.48,12.87,0.94
PME2-264,12.05.2022,Rīga,2800,5.77,14.43,0,6,5.28,6.51,7.92,0.58
PME2-281,12.05.2022,Rīga,2800,6.07,15.18,0,6,6.16,5.94,9.24,0.67
PME2-433,11.05.2022,Rīga,2500,4.12,10.3,0,5,3.9,4.45,5.85,0.43
PME2-368,11.05.2022,Kurzeme,3200,6.6,16.5,0,7.5,6.75,6.38,10.13,0.74
PME2-411,11.05.2022,Rīga,2800,5.5,13.75,0,6,5.6,5.35,8.4,0.61
PME2-478,11.05.2022,Rīga,4000,6.94,17.35,0,10,11,0.85,16.5,1.2
PME2-374,11.05.2022,Rīga,2800,4.33,10.83,0,6,5.5,2.58,8.25,0.6
PME2-153,11.05.2022,Rīga,2800,3.92,9.8,0,6,5.93,0.91,8.9,0.65
PME2-378,11.05.2022,Rīga,4000,5.95,14.88,0,10,9.38,0.81,14.07,1.02
PME2-122,11.05.2022,Rīga,3500,6.14,15.35,0,8,7.92,3.47,11.88,0.86
PME2-418,10.05.2022,Rīga,2800,3.56,8.9,0,6,5.69,0.36,8.54,0.62
PME2-465,10.05.2022,Rīga,2200,7.28,18.2,0,4,3.73,12.61,5.6,0.41
PME2-463,10.05.2022,Rīga,2200,3.78,9.45,0,4,4,3.45,6,0.44
PME2-464,09.05.2022,Rīga,4000,3.9,9.75,0,10,8,-2.25,12,0.87
PME2-466,10.05.2022,Rīga,2500,3.71,9.28,0,5,4.46,2.59,6.69,0.49
PME2-106,09.05.2022,Rīga,2800,4.21,10.53,0,6,4.88,3.21,7.32,0.53
PME2-434,06.05.2022,Rīga,4000,7.94,19.85,0,10,9.17,6.1,13.76,1
PME2-437,07.05.2022,Rīga,4000,4.77,11.93,0,11.02,9.17,-1.83,13.76,1
PME2-185,09.05.2022,Vidzeme,2800,6.61,16.53,0,6,4.8,9.33,7.2,0.52
PME2-452,09.05.2022,Rīga,3500,9.28,23.2,0,8.6,8.35,10.68,12.53,0.91
PME2-428,09.05.2022,Rīga,3500,7.99,19.98,0,8.25,0,19.98,0,0
PME2-436,08.05.2022,Rīga,2800,7.23,18.08,0,6.24,5.25,10.2,7.88,0.57
PME2-398,09.05.2022,Rīga,1800,3.27,8.18,0,3.7,0,8.18,0,0
PME2-412,08.05.2022,Rīga,4000,15.03,37.58,0,11.1,10.48,21.86,15.72,1.14
PME2-425,08.05.2022,Rīga,1800,3.38,8.45,0,3,3.16,3.71,4.74,0.34
PME2-195,06.05.2022,Rīga,3500,6.38,15.95,0,8,8.58,3.08,12.87,0.94
PME2-331,06.05.2022,Rīga,4000,17.59,43.98,0,10,9,30.48,13.5,0.98
PME2-430,06.05.2022,Rīga,3500,6.15,15.38,1.55,10,0,15.38,0,0
PME2-426,06.05.2022,Rīga,2500,4.56,11.4,0,5,4.8,4.2,7.2,0.52
PME2-427,06.05.2022,Rīga,3500,8.19,20.48,0,8,7.48,9.26,11.22,0.82
PME2-375,06.05.2022,Zemgale,2200,5.28,13.2,0,4,5.25,5.33,7.88,0.57
PME2-413,05.05.2022,Rīga,2800,5.81,14.53,0,6,4.3,8.08,6.45,0.47
PME2-370,03.05.2022,Kurzeme,2200,3.19,7.98,0,4,0,7.98,0,0
PME2-408,06.05.2022,Zemgale,3500,7.23,18.08,0,8,8.25,5.7,12.38,0.9
PME2-406,06.05.2022,Kurzeme,2500,6.07,15.18,0,5.55,4.68,8.16,7.02,0.51
PME2-105,06.05.2022,Vidzeme,1400,1.39,3.48,0,2,1.5,1.23,2.25,0.16
PME2-383,03.05.2022,Zemgale,4000,2.82,7.05,0,10,9.42,-7.08,14.13,1.03
PME2-197,05.05.2022,Kurzeme,2800,4.25,10.63,0,6.4,5.33,2.63,8,0.58
PME2-367,05.05.2022,Rīga,3500,5.07,12.68,0,8,0,12.68,0,0
PME2-86,05.05.2022,Rīga,2500,2.12,5.3,0,5,3.5,0.05,5.25,0.38
PME2-404,05.05.2022,Rīga,4000,9.35,23.38,0,10.8,11.66,5.89,17.49,1.27
PME2-135,05.05.2022,Rīga,2800,2.08,5.2,0,6,5.63,-3.25,8.45,0.61
PME2-403,05.05.2022,Zemgale,4000,9.97,24.93,0,10,6.55,15.1,9.83,0.71
PME2-399,05.05.2022,Kurzeme,2200,2.68,6.7,0,4,3.75,1.08,5.63,0.41
PME2-396,05.05.2022,Kurzeme,3500,5.49,13.73,0,8,8.25,1.35,12.38,0.9
PME2-130,05.05.2022,Rīga,2200,3.76,9.4,0,4,4.5,2.65,6.75,0.49
PME2-393,04.05.2022,Rīga,4000,4.18,10.45,0,10,9.5,-3.8,14.25,1.04
PME2-389,04.05.2022,Vidzeme,4000,4.01,10.03,0,11,0,10.03,0,0
PME2-381,04.05.2022,Rīga,3500,10.65,26.63,0,8,7.5,15.38,11.25,0.82
PME2-354,04.05.2022,Rīga,4000,14.47,36.18,0,11,10,21.18,15,1.09
PME2-71,04.05.2022,Rīga,1800,4.41,11.03,0,3.8,3.8,5.33,5.7,0.41
PME2-47,04.05.2022,Vidzeme,2800,2.73,6.83,0,6,4,0.83,6,0.44
PME2-317,03.05.2022,Rīga,3500,3.53,8.83,0,8,5.42,0.69,8.13,0.59
PME2-194,03.05.2022,Zemgale,3500,4.94,12.35,0,8,7.49,1.12,11.24,0.82
PME2-382,03.05.2022,Rīga,2200,4.19,10.48,0,4,4.52,3.7,6.78,0.49
PME2-321,03.05.2022,Rīga,2200,5.79,14.48,3.68,8,7.8,2.78,11.7,0.85
PME2-348,03.05.2022,Latgale,2200,2.14,5.35,0,4,,5.35,0,0
PME2-364,02.05.2022,Zemgale,4000,5,12.5,0,10,0,12.5,0,0
PME2-85,03.05.2022,Rīga,2800,3.84,9.6,0,6,0,9.6,0,0
PME2-260,02.05.2022,Rīga,4000,20,50,0,10,0,50,0,0
PME2-132,02.05.2022,Rīga,4000,20.85,52.13,0,10,8.52,39.35,12.78,0.93
PME2-241,02.05.2022,Rīga,2800,4.83,12.08,0,6,5.4,3.98,8.1,0.59
PME2-326,02.05.2022,Rīga,4000,12.83,32.08,0,11.1,11.9,14.23,17.85,1.3
PME2-275,02.05.2022,Rīga,2800,3.79,9.48,0,6,4.37,2.92,6.56,0.48
PME2-249,02.05.2022,Rīga,3500,9.7,24.25,0,8,8,12.25,12,0.87
PME2-108,02.05.2022,Rīga,3200,5.83,14.58,0,7,6.67,4.57,10.01,0.73
PME2-42,01.05.2022,Rīga,4000,10.3,25.75,0,10,10.79,9.57,16.19,1.18
PME2-332,01.05.2022,Zemgale,3500,7.37,18.43,0,8,7.55,7.1,11.33,0.82
PME2-287,29.04.2022,Kurzeme,2500,4.39,10.98,0,5,5.18,3.21,7.77,0.56
PME2-298,29.04.2022,Zemgale,3200,3.27,8.18,0,7,4,2.18,6,0.44
PME2-299,29.04.2022,Rīga,2500,6.95,17.38,0,5,5.82,8.65,8.73,0.63
PME2-230,29.04.2022,Rīga,2200,4.71,11.78,0,4,4.7,4.73,7.05,0.51
PME2-124,29.04.2022,Rīga,2500,6.94,17.35,0,5,4.6,10.45,6.9,0.5
PME2-107,29.04.2022,Rīga,2800,4.39,10.98,0,6,5.36,2.94,8.04,0.58
PME2-136,29.04.2022,Rīga,2800,4.61,11.53,0,6,6.42,1.9,9.63,0.7
PME2-306,29.04.2022,Kurzeme,3500,10.38,25.95,0,8,9.75,11.33,14.63,1.06
PME2-312,29.04.2022,Rīga,4000,10.11,25.28,0,10,10.2,9.98,15.3,1.11
PME2-257,29.04.2022,Rīga,4000,3.51,8.78,0,10.8,10,-6.23,15,1.09
PME2-311,29.04.2022,Rīga,4000,28.33,70.83,0,11,10.5,55.08,15.75,1.14
PME2-213,29.04.2022,Rīga,2800,8.43,21.08,0,6,5,13.58,7.5,0.55
PME2-273,29.04.2022,Rīga,3500,6.99,17.48,0,8,8.58,4.61,12.87,0.94
PME2-128,29.04.2022,Rīga,2500,5.66,14.15,0,5.3,5.05,6.58,7.58,0.55
PME2-44,29.04.2022,Vidzeme,4000,20.34,50.85,0,10,10,35.85,15,1.09
PME2-302,29.04.2022,Rīga,4000,17.53,43.83,0,11,11.33,26.83,17,1.23
PME2-286,28.04.2022,Rīga,1800,5.54,13.85,0,3.5,2.64,9.89,3.96,0.29
PME2-164,28.04.2022,Rīga,2200,7.23,18.08,0,4,4.5,11.33,6.75,0.49
PME2-156,28.04.2022,Rīga,4000,6.84,17.1,0,11,8.67,4.1,13.01,0.95
PME2-151,28.04.2022,Rīga,2200,7.48,18.7,0,4,4.33,12.21,6.5,0.47
PME2-138,28.04.2022,Vidzeme,1800,3.36,8.4,0,3.68,0,8.4,0,0
PME2-115,28.04.2022,Kurzeme,3800,6.5,16.25,0,9.4,9.72,1.67,14.58,1.06
PME2-198,28.04.2022,Rīga,2800,5.95,14.88,0,6.4,0,14.88,0,0
PME2-129,28.04.2022,Vidzeme,2800,3.96,9.9,0,6,6.58,0.03,9.87,0.72
PME2-208,28.04.2022,Rīga,2800,17.75,44.38,0,6.4,6.3,34.93,9.45,0.69
PME2-117,28.04.2022,Rīga,2200,7.63,19.08,0,4.5,3.34,14.07,5.01,0.36
PME2-180,28.04.2022,Zemgale,3800,14.37,35.93,0,9,9.72,21.35,14.58,1.06
PME2-215,27.04.2022,Zemgale,2200,3.47,8.68,0,4,3.7,3.13,5.55,0.4
PME2-214,27.04.2022,Rīga,3500,10.05,25.13,0,8.4,7.41,14.01,11.12,0.81
PME2-229,28.04.2022,Kurzeme,4000,7.91,19.78,0,11,10.23,4.43,15.35,1.12
PME2-218,27.04.2022,Rīga,4000,9.08,22.7,0,10,10.25,7.33,15.38,1.12
PME2-58,27.04.2022,Zemgale,2800,2.75,6.88,0,6.4,0,6.88,0,0
PME2-100,27.04.2022,Kurzeme,4000,6.64,16.6,0,10,10,1.6,15,1.09
PME2-200,27.04.2022,Zemgale,2800,6.02,15.05,0,6.4,5.97,6.1,8.96,0.65
PME2-45,27.04.2022,Zemgale,2800,4.7,11.75,0,6.8,5.74,3.14,8.61,0.63
PME2-88,27.04.2022,Rīga,2500,3.47,8.68,0,5.6,4.7,1.63,7.05,0.51
PME2-209,27.04.2022,Rīga,4000,9.87,24.68,0,10,10.8,8.48,16.2,1.18
PME2-207,27.04.2022,Rīga,4000,8.99,22.48,8,8000,0,22.48,0,0
PME2-126,27.04.2022,Rīga,4000,11.08,27.7,0,10.4,9.7,13.15,14.55,1.06
PME2-163,27.04.2022,Kurzeme,4000,4.38,10.95,0,10,7.1,0.3,10.65,0.77
PME2-56,27.04.2022,Kurzeme,1000,1.66,4.15,0,1.5,0,4.15,0,0
PME2-170,27.04.2022,Rīga,4000,2.86,7.15,0,10,7.79,-4.54,11.69,0.85
PME2-192,27.04.2022,Zemgale,2200,2.58,6.45,0,4,3.85,0.68,5.78,0.42
PME2-55,27.04.2022,Zemgale,2500,4.39,10.98,0,5.6,5.11,3.31,7.67,0.56
PME2-144,27.04.2022,Vidzeme,2800,2.1,5.25,0,6,5.04,-2.31,7.56,0.55
PME2-193,27.04.2022,Rīga,3500,9.34,23.35,0,8,7.6,11.95,11.4,0.83
PME2-182,27.04.2022,Rīga,3500,8.19,20.48,0,8,6.5,10.73,9.75,0.71
PME2-174,27.04.2022,Kurzeme,4000,3.69,9.23,0,11,10.2,-6.08,15.3,1.11
PME2-77,27.04.2022,Rīga,2500,6.12,15.3,0,5,4.89,7.97,7.34,0.53
PME2-191,27.04.2022,Rīga,4000,3.77,9.43,0,10,10.5,-6.33,15.75,1.14
PME2-99,27.04.2022,Rīga,4000,6.12,15.3,0,11,11,-1.2,16.5,1.2
PME2-7,27.04.2022,Latgale,1800,3.65,9.13,0,3.6,3.6,3.73,5.4,0.39
PME2-159,27.04.2022,Zemgale,2800,9.01,22.53,0,6,6.75,12.4,10.13,0.74
PME2-160,27.04.2022,Latgale,3500,7.74,19.35,0,8,8.25,6.98,12.38,0.9
PME2-109,27.04.2022,Latgale,3500,5.17,12.93,0,8.5,8,0.93,12,0.87
PME2-116,27.04.2022,Rīga,2500,3.59,8.98,0,5,4,2.98,6,0.44
PME2-70,27.04.2022,Rīga,2500,2.69,6.73,0,5,3.34,1.72,5.01,0.36
PME2-8,27.04.2022,Latgale,1400,2.87,7.18,0,2,1.5,4.93,2.25,0.16
PME2-15,27.04.2022,Rīga,4000,7.72,19.3,0,11.1,9.97,4.35,14.96,1.09
PME2-64,27.04.2022,Rīga,2500,5.19,12.98,0,5.6,5.26,5.09,7.89,0.57
PME2-111,27.04.2022,Vidzeme,1800,1.99,4.98,0,3,2.7,0.93,4.05,0.29
PME2-40,27.04.2022,Zemgale,3500,7.27,18.18,0,8,7.43,7.03,11.15,0.81
PME2-31,27.04.2022,Rīga,4000,11.74,29.35,0,10,8.36,16.81,12.54,0.91
PME2-89,27.04.2022,Rīga,2800,4.79,11.98,0,6,5.03,4.43,7.55,0.55
PME2-112,27.04.2022,Rīga,3200,4.33,10.83,0,7.2,5.88,2.01,8.82,0.64
PME2-141,27.04.2022,Rīga,4000,10.22,25.55,0,11,12.68,6.53,19.02,1.38
PME2-121,27.04.2022,Rīga,3500,5.6,14,0,8,0,14,0,0
PME2-123,27.04.2022,Rīga,4000,23.63,59.08,0,10.5,10.5,43.33,15.75,1.14
PME2-48,27.04.2022,Zemgale,3200,4.01,10.03,0,7.38,6.5,0.27,9.75,0.71
PME2-114,27.04.2022,Rīga,3500,4.55,11.38,0,8.65,7.33,0.38,11,0.8
PME2-65,27.04.2022,Rīga,1800,3.53,8.83,0,3.75,3.75,3.2,5.63,0.41
PME2-26,27.04.2022,Rīga,4000,7.73,19.33,0,11.02,10.6,3.43,15.9,1.16
PME2-76,27.04.2022,Rīga,4000,6.51,16.28,0,10,6.81,6.06,10.22,0.74
PME2-67,27.04.2022,Zemgale,3500,2.7,6.75,0,8.6,8.18,-5.52,12.27,0.89
PME2-73,27.04.2022,Rīga,2800,5.03,12.58,0,6.9,6.46,2.89,9.69,0.7
PME2-81,27.04.2022,Rīga,4000,14.83,37.08,0,10,8.86,23.79,13.29,0.97
PME2-95,27.04.2022,Rīga,4000,15.02,37.55,0,10,9.31,23.59,13.97,1.01
PME2-53,27.04.2022,Rīga,3500,10.54,26.35,0,8.2,8.1,14.2,12.15,0.88
PME2-61,27.04.2022,Rīga,2500,4.32,10.8,0,5.6,4.73,3.71,7.1,0.52
PME2-92,27.04.2022,Rīga,4000,10.07,25.18,0,10,10.53,9.38,15.8,1.15
PME2-80,27.04.2022,Rīga,4000,16.6,41.5,0,10,0,41.5,0,0
PME2-83,27.04.2022,Rīga,3500,8.24,20.6,0,8.6,8.04,8.54,12.06,0.88
PME2-37,27.04.2022,Vidzeme,2500,4.94,12.35,0,5.6,4.59,5.47,6.89,0.5
PME2-103,27.04.2022,Rīga,3200,7.57,18.93,0,7.2,6,9.93,9,0.65
PME2-50,27.04.2022,Vidzeme,4000,10.89,27.23,0,11,9.9,12.38,14.85,1.08
PME2-18,27.04.2022,Rīga,4000,6.77,16.93,0,11.1,10.8,0.72,16.2,1.18
PME2-82,27.04.2022,Rīga,2500,4.76,11.9,0,5.2,5.2,4.1,7.8,0.57
PME2-51,27.04.2022,Rīga,4000,10.65,26.63,0,10,10,11.63,15,1.09
PME2-66,27.04.2022,Rīga,4000,5.31,13.28,0,10,10.45,-2.4,15.68,1.14
PME2-68,27.04.2022,Rīga,2800,5.22,13.05,0,6,5.45,4.88,8.18,0.59
PME2-49,27.04.2022,Rīga,4000,12.09,30.23,0,10.8,9,16.73,13.5,0.98
PME2-63,27.04.2022,Rīga,3500,4,10,0,8.5,7.5,-1.25,11.25,0.82
PME2-75,27.04.2022,Rīga,2200,3.4,8.5,0,4.5,4.5,1.75,6.75,0.49
PME2-60,27.04.2022,Rīga,2200,3.56,8.9,0,4,4.09,2.77,6.14,0.45
PME2-52,27.04.2022,Vidzeme,2200,2.85,7.13,0,4,3.33,2.13,5,0.36
PME2-6,27.04.2022,Rīga,2800,4.34,10.85,0,6,4.7,3.8,7.05,0.51
PME2-62,27.04.2022,Kurzeme,4000,5.5,13.75,0,11.1,10.5,-2,15.75,1.14
PME2-79,27.04.2022,Rīga,3500,8.43,21.08,0,8,10.53,5.28,15.8,1.15
PME2-11,27.04.2022,Kurzeme,3500,3.93,9.83,0,8,5.25,1.95,7.88,0.57
PME2-4,27.04.2022,Rīga,2500,5.22,13.05,0,5,5,5.55,7.5,0.55
PME2-23,27.04.2022,Latgale,2200,2.55,6.38,0,4.74,3.38,1.31,5.07,0.37
PME2-9,27.04.2022,Rīga,4000,10.6,26.5,0,11.1,10.54,10.69,15.81,1.15
PME2-19,27.04.2022,Zemgale,4000,8.79,21.98,0,11,10,6.98,15,1.09
PME2-27,27.04.2022,Rīga,3500,7.35,18.38,0,8,7.84,6.62,11.76,0.85
PME2-20,27.04.2022,Rīga,2500,3.12,7.8,0,5,5.6,-0.6,8.4,0.61
PME2-36,27.04.2022,Rīga,3500,5.35,13.38,0,8,7.41,2.26,11.12,0.81
PME2-30,27.04.2022,Rīga,4000,6.58,16.45,0,10,12.23,-1.9,18.35,1.33
PME2-22,27.04.2022,Zemgale,4000,7.59,18.98,0,10.4,7.79,7.29,11.69,0.85
PME2-29,27.04.2022,Rīga,2800,6.96,17.4,0,6,6.4,7.8,9.6,0.7
PME2-21,27.04.2022,Rīga,2800,4.2,10.5,0,6.4,5.3,2.55,7.95,0.58
PME2-24,27.04.2022,Rīga,4000,7.89,19.73,0,10,12,1.73,18,1.31
PME2-32,27.04.2022,Rīga,4000,3.76,9.4,0,10,10,-5.6,15,1.09
PME2-10,27.04.2022,Rīga,3200,11.23,28.08,0,7.4,6.9,17.73,10.35,0.75
